"","analysis_var","analysis_type","indicator","group_var","access","overaged","out_of_school","ece","level1","level2","level3","level4","non_formal","wgq"
"121","edu_modality","prop_select_one",NA,"hoh_gender",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"122","edu_modality","prop_select_one",NA,"hoh_gender, child_gender_d",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"123","edu_ind_access_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"124","edu_disrupted_teacher_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to teacher's absence","hh_size",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"125","edu_disrupted_hazards_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to natural hazards","hh_size",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"126","edu_disrupted_displaced_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to the school being occupied by displaced persons - Binary","hh_size",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"127","edu_ind_access_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size, child_gender_d",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"128","edu_disrupted_teacher_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to teacher's absence","hh_size, child_gender_d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"129","edu_disrupted_hazards_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to natural hazards","hh_size, child_gender_d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"130","edu_disrupted_displaced_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to the school being occupied by displaced persons - Binary","hh_size, child_gender_d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"131","edu_ind_no_access_d","prop_select_one","% children 5 to 18 y.o. who did not attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"132","edu_barrier_d","prop_select_one","% children 5 to 18 y.o. not attending school or any early childhood education program at any time during the 2023-2024 school year, by main reason","hh_size",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"133","edu_ind_no_access_d","prop_select_one","% children 5 to 18 y.o. who did not attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size, child_gender_d",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"134","edu_barrier_d","prop_select_one","% children 5 to 18 y.o. not attending school or any early childhood education program at any time during the 2023-2024 school year, by main reason","hh_size, child_gender_d",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"135","edu_level1_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"136","edu_level1_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size, child_gender_d",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"137","edu_level2_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"138","edu_level2_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size, child_gender_d",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"139","edu_level3_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"140","edu_level3_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","hh_size, child_gender_d",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"141","edu_ind_access_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","edu_school_cycle_d, hh_size",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"142","edu_ind_access_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","edu_school_cycle_d, hh_size, child_gender_d",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"143","edu_attending_level0_level1_and_level1_minus_one_age_d","prop_select_one","% of children one year before primary school entry age attending early childhood education or primary school.","edu_school_cycle_d, hh_size",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"144","edu_attending_level0_level1_and_level1_minus_one_age_d","prop_select_one","% of children one year before primary school entry age attending early childhood education or primary school.","edu_school_cycle_d, hh_size, child_gender_d",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"145","edu_attending_level1_and_level1_minus_one_age_d","prop_select_one","% of children one year before primary school entry age attending primary school.","edu_school_cycle_d, hh_size",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"146","edu_attending_level1_and_level1_minus_one_age_d","prop_select_one","% of children one year before primary school entry age attending primary school.","edu_school_cycle_d, hh_size, child_gender_d",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"147","edu_attending_level123_and_level1_age_d","prop_select_one","% of school-aged children of primary school age currently attending primary, lower or upper secondary school","edu_school_cycle_d,hh_size",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"148","edu_attending_level123_and_level1_age_d","prop_select_one","% of school-aged children of primary school age currently attending primary, lower or upper secondary school","edu_school_cycle_d, hh_size, child_gender_d",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"149","edu_attending_level23_and_level2_age_d","prop_select_one","% of school-aged children of lower secondary school age currently attending lower secondary school or higher","edu_school_cycle_d,hh_size",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"150","edu_attending_level23_and_level2_age_d","prop_select_one","% of school-aged children of lower secondary school age currently attending lower secondary school or higher","edu_school_cycle_d, hh_size, child_gender_d",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"151","edu_attending_level3_and_level3_age_d","prop_select_one","% of school-aged children of upper secondary school age currently attending upper secondary school or higher","edu_school_cycle_d,hh_size",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"152","edu_attending_level3_and_level3_age_d","prop_select_one","% of school-aged children of upper secondary school age currently attending upper secondary school or higher","edu_school_cycle_d, hh_size, child_gender_d",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"153","edu_disrupted_displaced","prop_select_multiple",NA,"hh_size",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"154","edu_disrupted_displaced","prop_select_multiple",NA,"hh_size, child_gender_d",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"155","edu_modality","prop_select_one",NA,"hh_size",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"156","edu_modality","prop_select_one",NA,"hh_size, child_gender_d",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"157","edu_ind_access_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","stratum",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"158","edu_disrupted_teacher_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to teacher's absence","stratum",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"159","edu_disrupted_hazards_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to natural hazards","stratum",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"160","edu_disrupted_displaced_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to the school being occupied by displaced persons - Binary","stratum",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"161","edu_ind_access_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","stratum, child_gender_d",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"162","edu_disrupted_teacher_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to teacher's absence","stratum, child_gender_d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"163","edu_disrupted_hazards_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to natural hazards","stratum, child_gender_d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"164","edu_disrupted_displaced_d","prop_select_one","% of children 5 to 18 y.o. whose education was disrupted due to the school being occupied by displaced persons - Binary","stratum, child_gender_d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"165","edu_ind_no_access_d","prop_select_one","% children 5 to 18 y.o. who did not attended school or any early childhood education program at any time during the 2023-2024 school year","stratum",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"166","edu_barrier_d","prop_select_one","% children 5 to 18 y.o. not attending school or any early childhood education program at any time during the 2023-2024 school year, by main reason","stratum",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"167","edu_ind_no_access_d","prop_select_one","% children 5 to 18 y.o. who did not attended school or any early childhood education program at any time during the 2023-2024 school year","stratum, child_gender_d",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"168","edu_barrier_d","prop_select_one","% children 5 to 18 y.o. not attending school or any early childhood education program at any time during the 2023-2024 school year, by main reason","stratum, child_gender_d",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"169","edu_level1_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","stratum",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"170","edu_level1_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","stratum, child_gender_d",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"171","edu_level2_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","stratum",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"172","edu_level2_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","stratum, child_gender_d",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"173","edu_level3_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","stratum",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"174","edu_level3_overage_learners_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","stratum, child_gender_d",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"175","edu_ind_access_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","edu_school_cycle_d, stratum",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"176","edu_ind_access_d","prop_select_one","% children 5 to 18 y.o. who attended school or any early childhood education program at any time during the 2023-2024 school year","edu_school_cycle_d, stratum, child_gender_d",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"177","edu_attending_level0_level1_and_level1_minus_one_age_d","prop_select_one","% of children one year before primary school entry age attending early childhood education or primary school.","edu_school_cycle_d, stratum",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"178","edu_attending_level0_level1_and_level1_minus_one_age_d","prop_select_one","% of children one year before primary school entry age attending early childhood education or primary school.","edu_school_cycle_d, stratum, child_gender_d",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"179","edu_attending_level1_and_level1_minus_one_age_d","prop_select_one","% of children one year before primary school entry age attending primary school.","edu_school_cycle_d, stratum",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"180","edu_attending_level1_and_level1_minus_one_age_d","prop_select_one","% of children one year before primary school entry age attending primary school.","edu_school_cycle_d, stratum, child_gender_d",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
